event_id,origintime,magnitude,magnitude_source,max_mmi,latitude,longitude,depth_km,err_lat,err_lon,err_depth,err_origintime,state,county,status
9569,2019-01-05 08:23:21,1.5,OGS,None,36.10133333,-97.85516667,4.22,0.14,0.14,0.5,None,Oklahoma,Kingfisher,Reviewed
9570,2019-01-05 09:51:27,1.6,OGS,None,36.21616667,-97.5705,6.07,0.14,0.14,0.5,None,Oklahoma,Logan,Reviewed
9573,2019-01-05 12:24:56,1.3,OGS,None,36.69034195,-97.68015289,3.35,1.84,1.75,2.13,0.41187636,Oklahoma,Grant,Reviewed
9575,2019-01-05 23:17:44,2.4,OGS,None,35.9065,-97.23116667,5.31,0.28,0.28,0.7,None,Oklahoma,Logan,Reviewed
10439,2019-01-06 03:49:46,1.9,OGS,None,35.0895,-97.72216667,7.0,0.71,0.71,1.1,None,Oklahoma,McClain,Reviewed
9576,2019-01-06 10:38:30,3.1,OGS,None,36.36816667,-98.1445,3.69,0.35,0.35,0.7,None,Oklahoma,Alfalfa,Reviewed
9577,2019-01-06 12:23:59,2.1,OGS,None,36.36866667,-98.1495,3.92,0.42,0.42,0.8,None,Oklahoma,Alfalfa,Reviewed
9578,2019-01-07 14:43:50,2.1,OGS,None,35.824,-98.24533333,6.25,0.28,0.28,1.2,None,Oklahoma,Blaine,Reviewed
9579,2019-01-07 16:43:07,3.1,OGS,None,36.81766667,-97.71133333,7.18,0.14,0.14,0.4,None,Oklahoma,Grant,Reviewed
9580,2019-01-07 17:16:59,2.0,OGS,None,36.4785,-98.20966667,7.4,0.21,0.21,0.6,None,Oklahoma,Alfalfa,Reviewed
4429,2019-01-07 22:59:51,2.9,OGS,None,36.67866667,-95.37683333,0.0,0.78,0.78,0.6,None,Oklahoma,Rogers,Preliminary
9040,2019-01-08 03:59:43,0.6,OGS,None,35.089,-97.82983333,16.77,0.92,0.92,2.0,None,Oklahoma,Grady,Reviewed
9582,2019-01-08 06:30:43,1.5,OGS,None,36.12716667,-97.8235,5.22,0.28,0.28,0.6,None,Oklahoma,Kingfisher,Reviewed
9584,2019-01-08 11:25:49,1.6,OGS,None,36.5135,-98.6105,6.26,0.35,0.35,0.5,None,Oklahoma,Major,Reviewed
9585,2019-01-09 07:39:53,1.1,OGS,None,36.54616667,-97.03033333,5.37,0.42,0.42,0.6,None,Oklahoma,Osage,Reviewed
9586,2019-01-09 15:26:21,1.4,OGS,None,36.4465,-96.8865,4.39,0.21,0.21,0.7,None,Oklahoma,Pawnee,Reviewed
9587,2019-01-09 16:52:56,1.8,OGS,None,36.44433333,-96.88516667,4.61,0.21,0.21,0.6,None,Oklahoma,Pawnee,Reviewed
9588,2019-01-09 19:31:54,0.9,OGS,None,36.44883333,-96.88716667,2.44,0.14,0.14,1.9,None,Oklahoma,Pawnee,Reviewed
9589,2019-01-09 19:33:04,1.1,OGS,None,36.44616667,-96.887,2.88,0.14,0.14,1.6,None,Oklahoma,Pawnee,Reviewed
9593,2019-01-09 19:33:43,0.7,OGS,None,36.44816667,-96.88816667,2.47,0.14,0.14,1.8,None,Oklahoma,Pawnee,Reviewed
4611,2019-01-09 22:56:02,2.6,OGS,None,36.67333333,-95.37666667,0.81,1.34,1.34,1.3,None,Oklahoma,Rogers,Preliminary
4438,2019-01-10 19:06:43,2.9,OGS,None,33.25902557,-97.92638397,5.0,1.94,2.68,0.0,0.34367815,Texas,Wise,Preliminary
9250,2019-01-10 21:59:25,1.1,OGS,None,35.10216667,-97.68266667,3.12,0.85,0.85,5.4,None,Oklahoma,McClain,Reviewed
