API,Completion Date,Well Number,Upper Perf,Lower Perf,Formation,operator 
42-301-33150-0000,5/7/2018,13H,0,0,,XTO ENERGY INC.
42-301-33149-0000,,,0,0,,
42-301-33010-0000,,,0,0,,
42-301-32972-0000,,,0,0,,
42-301-32973-0000,,,0,0,,
42-301-32426-0000,,,0,0,,
42-301-32426-0000,3/18/2018,15H,0,0,,ANADARKO E&P ONSHORE LLC
42-301-32427-0000,,,0,0,,
42-301-32427-0000,3/5/2018,16H,0,0,,ANADARKO E&P ONSHORE LLC
42-301-33635-0000,,,0,0,,
42-301-33635-0000,6/22/2018,8H,11550,19193,,"EOG RESOURCES, INC."
42-301-33658-0000,,,0,0,,
42-301-33652-0000,,,0,0,,
42-301-33652-0000,2/19/2018,10,0,0,,"HEADINGTON ENERGY PARTNERS, LLC"
42-301-33655-0000,,,0,0,,
42-301-33632-0000,,,0,0,,
42-301-33616-0000,12/1/2018,,0,0,,COG Operating LLC
42-301-33574-0000,,,0,0,,
42-301-33574-0000,7/5/2018,1,4376,5984,,
42-301-33614-0000,12/1/2018,,0,0,,COG Operating LLC
42-301-33532-0000,,,0,0,,
42-301-33532-0000,6/11/2018,2H,11314,15928,,SHELL WESTERN E&P
42-301-33657-0000,,,0,0,,
42-301-33631-0000,,,0,0,,
42-301-33580-0000,,,0,0,,
42-301-33581-0000,,,0,0,,
42-301-33582-0000,,,0,0,,
42-301-33566-0000,,,0,0,,
42-301-33615-0000,12/1/2018,,0,0,,COG Operating LLC
42-301-33615-0000,1/4/2019,2H,0,0,,COG OPERATING LLC
42-301-33565-0000,,,0,0,,
42-301-33605-0000,1/19/2019,2H,0,0,,SHELL WESTERN E&P
42-301-33563-0000,,,0,0,,
42-301-33564-0000,,,0,0,,
42-301-33520-0000,,,0,0,,
42-301-33531-0000,,,0,0,,
42-301-33531-0000,6/11/2018,1H,11135,18566,,SHELL WESTERN E&P
42-301-33605-0000,,,0,0,,
42-301-33703-0000,6/28/2018,,0,0,,Anadarko Petroleum Corporation
42-301-33699-0000,,,0,0,,
42-301-33699-0000,4/15/2018,5H,0,0,,ANADARKO E&P ONSHORE LLC
42-301-33711-0000,,,0,0,,
42-301-33711-0000,3/23/2018,5H,12523,16906,,ANADARKO E&P ONSHORE LLC
42-301-33697-0000,,,0,0,,
42-301-33698-0000,,,0,0,,
42-301-33698-0000,2/3/2018,4H,0,0,,ANADARKO E&P ONSHORE LLC
42-301-33698-0000,12/6/2018,4H,12431,23036,,ANADARKO E&P ONSHORE LLC
42-301-33704-0000,7/11/2018,,0,0,,Anadarko Petroleum Corporation
42-301-33706-0000,,,0,0,,
42-301-33712-0000,8/4/2018,,0,0,,"RSP Permian, LLC"
42-301-33701-0000,7/26/2018,,0,0,,Anadarko Petroleum Corporation
42-301-33673-0000,,,0,0,,
42-301-33666-0000,,,0,0,,
42-301-33634-0000,,,0,0,,
42-301-33667-0000,,,0,0,,
42-301-33710-0000,,,0,0,,
42-301-33710-0000,10/9/2018,3H,13078,17529,,COG OPERATING LLC
42-301-33708-0000,,,0,0,,
42-301-33633-0000,,,0,0,,
42-301-33630-0000,,,0,0,,
42-301-33928-0000,8/6/2018,2H,9177,13752,,"EOG RESOURCES, INC."
42-301-33918-0000,2/3/2019,,0,0,,Shell Oil Company affiliate
42-301-33918-0000,4/3/2019,9H,0,0,,SHELL WESTERN E&P
42-301-33950-0000,8/9/2018,1H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-33910-0000,10/5/2018,5H,0,0,,SHELL WESTERN E&P
42-301-33931-0000,8/5/2018,5H,9303,13827,,"EOG RESOURCES, INC."
42-301-33932-0000,7/22/2018,5H,0,0,,WPX Energy
42-301-33932-0000,7/22/2018,5H,12210,16536,,"WPX ENERGY PERMIAN, LLC"
42-301-33950-0000,11/8/2018,1H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-33902-0000,12/31/2018,,0,0,,"EOG Resources, Inc."
42-301-33902-0000,1/8/2019,10H,0,0,,"EOG RESOURCES, INC."
42-301-33903-0000,1/8/2019,11H,0,0,,"EOG RESOURCES, INC."
42-301-33917-0000,2/1/2019,,0,0,,Shell Oil Company affiliate
42-301-33917-0000,4/3/2019,8H,0,0,,SHELL WESTERN E&P
42-301-33930-0000,8/5/2018,4H,9354,13792,,"EOG RESOURCES, INC."
42-301-33951-0000,11/22/2018,2H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-33916-0000,7/27/2018,1H,0,0,,
42-301-33916-0000,7/27/2018,1H,10588,20714,,"WPX ENERGY PERMIAN, LLC"
42-301-33916-0000,10/4/2018,1H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-33856-0000,8/7/2018,G003,0,0,,"Rosehill Operating Company, LLC"
42-301-33856-0000,12/18/2018,G003,11853,16414,,"ROSEHILL OPERATING COMPANY, LLC"
42-301-33858-0000,8/4/2018,G007,0,0,,"Rosehill Operating Company, LLC"
42-301-33858-0000,8/4/2018,G007,10456,14736,,"ROSEHILL OPERATING COMPANY, LLC"
42-301-33858-0000,12/14/2018,G007,0,0,,"ROSEHILL OPERATING COMPANY, LLC"
42-301-33857-0000,8/4/2018,G006,10813,14805,,"ROSEHILL OPERATING COMPANY, LLC"
42-301-33922-0000,1/12/2019,1H,10886,15593,,"WPX ENERGY PERMIAN, LLC"
42-301-33946-0000,10/28/2018,1H,12339,22299,,OASIS PETROLEUM PERMIAN LLC
42-301-33967-0000,8/7/2018,2H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-33967-0000,8/7/2018,2H,10981,15776,,"WPX ENERGY PERMIAN, LLC"
42-301-33971-0000,1/30/2019,2H,0,0,,ANADARKO E&P ONSHORE LLC
42-301-33980-0000,2/4/2019,,0,0,,Matador Production Company
42-301-33980-0000,2/11/2019,203H,0,0,,MATADOR PRODUCTION COMPANY
42-301-33988-0000,9/9/2018,,12584,22579,,"EOG RESOURCES, INC."
42-301-33960-0000,11/17/2018,4H,11061,20924,,"WPX ENERGY PERMIAN, LLC"
42-301-33958-0000,9/10/2018,2H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-33958-0000,1/12/2019,2H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-33958-0000,11/10/2018,2H,11186,21026,,"WPX ENERGY PERMIAN, LLC"
42-301-33978-0000,11/22/2018,,0,0,,Matador Production Company
42-301-33978-0000,11/27/2018,203H,0,0,,MATADOR PRODUCTION COMPANY
42-301-33982-0000,9/9/2018,4H,12680,22591,,"EOG RESOURCES, INC."
42-301-33952-0000,8/30/2018,1H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-33959-0000,11/18/2018,3H,10750,20922,,"WPX ENERGY PERMIAN, LLC"
42-301-33956-0000,8/9/2018,1D,3695,6380,,SHELL WESTERN E&P
42-301-33974-0000,8/6/2018,1HR,0,0,,"EOG RESOURCES, INC."
42-301-33974-0000,8/6/2018,1HR,9253,13791,,"EOG RESOURCES, INC."
42-301-33966-0000,8/13/2018,1H,0,0,,WPX Energy
42-301-33966-0000,8/13/2018,1H,12949,17425,,"WPX ENERGY PERMIAN, LLC"
42-301-34030-0000,3/19/2019,C002,11508,16383,,"ROSEHILL OPERATING COMPANY, LLC"
42-301-34005-0000,3/22/2019,,0,0,,"EOG Resources, Inc."
42-301-33997-0000,4/12/2019,3,0,0,,"HILLSTONE DACO PERMIAN, LLC"
42-301-33993-0000,3/22/2019,,0,0,,Shell Oil Company affiliate
42-301-34006-0000,3/19/2019,,0,0,,"EOG Resources, Inc."
42-301-34038-0000,2/10/2019,,0,0,,"EOG Resources, Inc."
42-301-34000-0000,9/16/2018,2H,12516,16828,,"WPX ENERGY PERMIAN, LLC"
42-301-34000-0000,9/16/2018,2H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-34000-0000,9/9/2017,,0,0,,WPX Energy
42-301-34039-0000,7/15/2018,11H,0,0,,"EOG RESOURCES, INC."
42-301-33992-0000,11/4/2018,2412H,12576,19667,,COG OPERATING LLC
42-301-33952-0000,11/10/2018,1H,11113,21330,,"WPX ENERGY PERMIAN, LLC"
42-301-33991-0000,11/8/2018,2411H,12337,19512,,COG OPERATING LLC
42-301-33979-0000,11/8/2018,1,0,0,,"OWL SWD OPERATING, LLC"
42-301-33962-0000,10/16/2018,,0,0,,"EOG Resources, Inc."
42-301-33968-0000,8/7/2018,3H,10863,15662,,"WPX ENERGY PERMIAN, LLC"
42-301-33968-0000,8/7/2018,3H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-33981-0000,2/4/2019,,0,0,,Matador Production Company
42-301-33981-0000,2/11/2019,204H,0,0,,MATADOR PRODUCTION COMPANY
42-301-33963-0000,10/29/2018,,0,0,,"EOG Resources, Inc."
42-301-34031-0000,3/19/2019,E007,10265,15164,,"ROSEHILL OPERATING COMPANY, LLC"
42-301-34054-0000,12/2/2018,6H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-34061-0000,6/5/2019,1H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-34060-0000,6/29/2018,,0,0,,SHELL WESTERN E&P
42-301-34060-0000,2/25/2019,2H,11439,21478,,SHELL WESTERN E&P
42-301-34059-0000,5/9/2019,7H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-34032-0000,9/24/2018,,10265,15164,,ANADARKO E&P ONSHORE LLC
42-301-34040-0000,10/1/2018,D006,10028,14884,,"ROSEHILL OPERATING COMPANY, LLC"
42-301-34050-0000,5/8/2019,9H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-34063-0000,3/8/2019,3H,10420,20558,,"WPX ENERGY PERMIAN, LLC"
42-301-34064-0000,12/1/2018,,10420,20558,,MATADOR PRODUCTION COMPANY
42-301-34052-0000,2/9/2019,12H,0,0,,COG OPERATING LLC
42-301-34028-0000,11/12/2018,,0,0,,BHP Billiton Petroleum
42-301-34009-0000,1/31/2019,,0,0,,Oasis Petroleum
42-301-34009-0000,2/19/2019,5101H,0,0,,OASIS PETROLEUM PERMIAN LLC
42-301-34053-0000,11/3/2018,,0,0,,Matador Production Company
42-301-34027-0000,11/12/2018,,0,0,,BHP Billiton Petroleum
42-301-34049-0000,5/8/2019,8H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-34048-0000,9/22/2018,,0,0,,ANADARKO E&P ONSHORE LLC
42-301-34062-0000,7/1/2018,2H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-34062-0000,6/2/2019,2H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-34037-0000,1/17/2019,,0,0,,Anadarko Petroleum Corporation
42-301-34037-0000,1/17/2019,3H,0,0,,ANADARKO E&P ONSHORE LLC
42-301-34090-0000,2/17/2019,,0,0,,"EOG Resources, Inc."
42-301-34104-0000,2/19/2019,,11992,18976,,"WPX ENERGY PERMIAN, LLC"
42-301-34106-0000,2/13/2019,402H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-34105-0000,2/19/2019,414H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-33999-0000,12/22/2018,401H,0,0,,COG OPERATING LLC
42-301-34081-0000,12/28/2018,2009H,0,0,,SHELL WESTERN E&P
42-301-34081-0000,4/6/2019,2009H,0,0,,SHELL WESTERN E&P
42-301-34097-0000,11/11/2018,2H,0,0,,SHELL WESTERN E&P
42-301-34097-0000,12/21/2018,2H,0,0,,SHELL WESTERN E&P
42-301-34122-0000,3/5/2019,421H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-34082-0000,3/15/2019,,0,0,,Shell Oil Company affiliate
42-301-34082-0000,12/28/2018,2010H,0,0,,SHELL WESTERN E&P
42-301-34082-0000,4/6/2019,2010H,0,0,,SHELL WESTERN E&P
42-301-33831-0000,,,0,0,,
42-301-33824-0000,,,0,0,,
42-301-33842-0000,,,0,0,,
42-301-33842-0000,9/18/2018,4H,11276,21409,,"WPX ENERGY PERMIAN, LLC"
42-301-33842-0000,9/18/2018,4H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-33823-0000,,,0,0,,
42-301-33826-0000,,,0,0,,
42-301-33152-0000,,,0,0,,
42-301-33154-0000,,,0,0,,
42-301-33154-0000,5/7/2018,1H,0,0,,XTO ENERGY INC.
42-301-33154-0000,1/7/2019,1H,12493,20483,,XTO ENERGY INC.
42-301-33153-0000,,,0,0,,
42-301-33153-0000,6/12/2018,22H,0,0,,XTO ENERGY INC.
42-301-33837-0000,,,0,0,,
42-301-33837-0000,6/29/2018,2D,4102,7565,,SHELL WESTERN E&P
42-301-33832-0000,,,0,0,,
42-301-33821-0000,,,0,0,,
42-301-33821-0000,11/2/2018,2406H,13039,19900,,COG OPERATING LLC
42-301-33825-0000,,,0,0,,
42-301-33852-0000,,,0,0,,
42-301-33834-0000,,,0,0,,
42-301-33843-0000,,,0,0,,
42-301-33833-0000,,,0,0,,
42-301-33829-0000,,,0,0,,
42-301-33828-0000,,,0,0,,
42-301-33841-0000,,,0,0,,
42-301-33847-0000,,,0,0,,
42-301-33847-0000,6/1/2018,1H,0,0,,
42-301-33847-0000,6/1/2018,1H,12249,16779,,WPX Energy
42-301-33827-0000,,,0,0,,
42-301-33890-0000,,,0,0,,
42-301-33890-0000,6/12/2018,6,3933,5300,,MESQUITE SWD INC
42-301-33885-0000,,,0,0,,
42-301-33872-0000,11/7/2018,,0,0,,Anadarko Petroleum Corporation
42-301-33873-0000,,,0,0,,
42-301-33883-0000,,,0,0,,
42-301-33867-0000,,,0,0,,
42-301-33867-0000,5/9/2018,2,3802,5500,,MESQUITE SWD INC
42-301-33846-0000,,,0,0,,
42-301-33846-0000,7/20/2018,2H,11388,18873,,ANADARKO E&P ONSHORE LLC
42-301-33880-0000,,,0,0,,
42-301-33880-0000,8/21/2018,E001,12410,16771,,"ROSEHILL OPERATING COMPANY, LLC"
42-301-33880-0000,3/19/2019,E001,0,0,,"ROSEHILL OPERATING COMPANY, LLC"
42-301-33860-0000,,,0,0,,
42-301-33860-0000,7/31/2018,1H,11233,15650,,SHELL WESTERN E&P
42-301-33891-0000,,,0,0,,
42-301-33876-0000,,,0,0,,
42-301-33851-0000,,,0,0,,
42-301-33751-0000,,,0,0,,
42-301-33751-0000,3/9/2018,212H,12688,17257,,MATADOR PRODUCTION COMPANY
42-301-33886-0000,,,0,0,,
42-301-33854-0000,,,0,0,,
42-301-33820-0000,,,0,0,,
42-301-33820-0000,11/21/2018,2405H,12353,19493,,COG OPERATING LLC
42-301-33798-0000,,,0,0,,
42-301-33798-0000,8/21/2018,1H,11414,21450,,SHELL WESTERN E&P
42-301-33798-0000,8/21/2018,1H,0,0,,SHELL WESTERN E&P
42-301-33754-0000,,,0,0,,
42-301-33754-0000,4/5/2018,2H,12886,23181,,ANADARKO E&P ONSHORE LLC
42-301-33617-0000,,,0,0,,
42-301-33844-0000,9/26/2018,6H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-33844-0000,1/12/2019,6H,11287,21395,,"WPX ENERGY PERMIAN, LLC"
42-301-33844-0000,9/26/2018,6H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-33901-0000,12/31/2018,,0,0,,"EOG Resources, Inc."
42-301-33901-0000,1/8/2019,9H,0,0,,"EOG RESOURCES, INC."
42-301-33929-0000,8/5/2018,3H,9353,13759,,"EOG RESOURCES, INC."
42-301-33940-0000,1/15/2019,2H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-33936-0000,9/6/2018,2,0,0,,"ROSEHILL OPERATING COMPANY, LLC"
42-301-33936-0000,9/6/2018,2,0,0,,"ROSEHILL OPERATING COMPANY, LLC"
42-301-33881-0000,,,0,0,,
42-301-33881-0000,8/21/2018,E002,0,0,,
42-301-33924-0000,11/12/2018,,11384,18545,,"EOG RESOURCES, INC."
42-301-33914-0000,1/31/2019,,0,0,,Shell Oil Company affiliate
42-301-33914-0000,4/3/2019,6H,0,0,,SHELL WESTERN E&P
42-301-33908-0000,10/5/2018,4H,0,0,,SHELL WESTERN E&P
42-301-33907-0000,10/5/2018,3H,0,0,,SHELL WESTERN E&P
42-301-33933-0000,8/31/2018,1H,0,0,,
42-301-33933-0000,8/9/2018,1H,0,0,,
42-301-33933-0000,8/31/2018,1H,12306,17133,,"WPX ENERGY PERMIAN, LLC"
42-301-33939-0000,1/12/2019,1H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-33915-0000,12/24/2018,7H,0,0,,SHELL WESTERN E&P
42-301-33868-0000,,,0,0,,
42-301-33868-0000,6/21/2018,2H,12620,17382,,ANADARKO E&P ONSHORE LLC
42-301-33869-0000,,,0,0,,
42-301-33866-0000,,,0,0,,
42-301-33866-0000,4/11/2018,1,3850,5500,,MESQUITE SWD INC
42-301-33896-0000,,,0,0,,
42-301-33896-0000,2/12/2019,4,0,0,,"BOYD, D. K. OIL AND GAS CO.,INC."
42-301-33884-0000,,,0,0,,
42-301-33889-0000,,,0,0,,
42-301-33889-0000,3/29/2018,5,3850,5300,,MESQUITE SWD INC
42-301-33877-0000,,,0,0,,
42-301-33862-0000,,,0,0,,
42-301-33848-0000,,,0,0,,
42-301-33893-0000,,,0,0,,
42-301-33888-0000,,,0,0,,
42-301-33888-0000,3/11/2018,1,3800,5300,,MESQUITE SWD INC
42-301-33882-0000,,,0,0,,
42-301-33882-0000,8/21/2018,F001,12257,17056,,"ROSEHILL OPERATING COMPANY, LLC"
42-301-33882-0000,3/30/2019,F001,0,0,,"ROSEHILL OPERATING COMPANY, LLC"
42-301-33871-0000,,,0,0,,
42-301-33861-0000,,,0,0,,
42-301-33861-0000,7/31/2018,2H,11244,15665,,SHELL WESTERN E&P
42-301-33892-0000,,,0,0,,
42-301-33811-0000,,,0,0,,
42-301-33878-0000,,,0,0,,
42-301-33883-0000,3/18/2019,F002,0,0,,"ROSEHILL OPERATING COMPANY, LLC"
42-301-33879-0000,,,0,0,,
42-301-34163-0000,11/30/2018,1,4441,5600,,"VELOCITY WATER SOLUTIONS, LP"
42-301-34164-0000,11/30/2018,,4441,5600,,SHELL WESTERN E&P
42-301-34164-0000,4/3/2019,10H,0,0,,SHELL WESTERN E&P
42-301-34170-0000,2/2/2019,,0,0,,"EOG Resources, Inc."
42-301-34173-0000,3/28/2019,,0,0,,"EOG Resources, Inc."
42-301-34174-0000,3/28/2019,,0,0,,"EOG Resources, Inc."
42-301-34175-0000,5/7/2019,,0,0,,WPX Energy
42-301-34175-0000,5/16/2019,2H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-34169-0000,2/2/2019,,0,0,,"EOG Resources, Inc."
42-301-34168-0000,1/28/2019,,0,0,,"EOG Resources, Inc."
42-301-34167-0000,1/28/2019,,0,0,,"EOG Resources, Inc."
42-301-34171-0000,2/2/2019,,0,0,,"EOG Resources, Inc."
42-301-34194-0000,1/21/2019,,0,0,,"EOG Resources, Inc."
42-301-34195-0000,1/20/2019,,0,0,,"EOG Resources, Inc."
42-301-34217-0000,6/2/2019,412H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-34221-0000,5/27/2019,411H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-34259-0000,5/19/2019,,0,0,,Matador Production Company
42-301-34235-0000,3/1/2019,,0,0,,Matador Production Company
42-301-34235-0000,3/8/2019,212H,0,0,,MATADOR PRODUCTION COMPANY
42-301-34294-0000,5/16/2019,404H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-34147-0000,3/27/2019,1,0,0,,"BTA OIL PRODUCERS, LLC"
42-301-34137-0000,3/8/2019,,0,0,,Shell Oil Company affiliate
42-301-33970-0000,1/23/2019,,0,0,,Anadarko Petroleum Corporation
42-301-34126-0000,12/6/2018,G003,12253,16799,,"ROSEHILL OPERATING COMPANY, LLC"
42-301-34124-0000,11/28/2018,E001,12241,16745,,"ROSEHILL OPERATING COMPANY, LLC"
42-301-34104-0000,2/21/2019,424H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-34087-0000,2/16/2019,,0,0,,"EOG Resources, Inc."
42-301-34073-0000,1/17/2019,,0,0,,Anadarko Petroleum Corporation
42-301-34129-0000,3/22/2019,,0,0,,WPX Energy
42-301-34129-0000,3/29/2019,422H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-34128-0000,3/23/2019,,0,0,,WPX Energy
42-301-34128-0000,3/29/2019,401H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-34132-0000,3/24/2019,,0,0,,WPX Energy
42-301-34132-0000,4/1/2019,431H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-34131-0000,3/24/2019,,0,0,,WPX Energy
42-301-34131-0000,3/30/2019,412H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-34130-0000,3/23/2019,,0,0,,WPX Energy
42-301-34130-0000,3/29/2019,402H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-34130-0000,5/30/2019,402H,0,0,,"WPX ENERGY PERMIAN, LLC"
42-301-34281-0000,4/11/2019,2,0,0,,
42-301-34359-0000,3/18/2019,1,0,0,,"WPX ENERGY PERMIAN, LLC"
