,API,Lease_Name,Production_type,Production_Status,Drilling_Type,First_Production_Day,Cum_Oil,Cum_Gas,Cum_water,Lat,Long,Lateral Length,Spud_Date,Completion_Date,Well_Number,Upper_Perforation,Lower_Perforation,Reservoir,operator ,Cum_BOE
37,4230133168,GOODNIGHT UNIT 5H,OIL,Active,H,6/1/2018,349164.0,660500.7,407932.0,31.91129684,-103.5163956,9961.183594,1/16/2018,,,0,0,,,459247.4512
38,4230133168,GOODNIGHT UNIT 5H,OIL,Active,H,6/1/2018,349164.0,660500.7,407932.0,31.91129684,-103.5163956,9961.183594,1/16/2018,6/26/2018,5H,12295,22124,,"EOG RESOURCES, INC.",459247.4512
41,4230133164,GOODNIGHT UNIT 1H,OIL,Active,H,5/1/2018,198637.0,360667.0,639209.0,31.911182399999998,-103.52027890000001,9957.366211,1/24/2018,,,0,0,,,258748.1677
42,4230133164,GOODNIGHT UNIT 1H,OIL,Active,H,5/1/2018,198637.0,360667.0,639209.0,31.911182399999998,-103.52027890000001,9957.366211,1/24/2018,5/23/2018,1H,12410,22171,,"EOG RESOURCES, INC.",258748.1677
44,4230133353,UNIVERSITY 19 PW UNIT 1903H,OIL,Active,H,5/1/2018,42407.0,99777.0,215904.0,31.67349243,-103.3946152,11368.58105,1/6/2018,5/28/2018,1903H,11891,23007,WOLFCAMP,SHELL WESTERN E&P,59036.49951
45,4230133353,UNIVERSITY 19 PW UNIT 1903H,OIL,Active,H,5/1/2018,42407.0,99777.0,215904.0,31.67349243,-103.3946152,11368.58105,1/6/2018,,,0,0,,,59036.49951
47,4230133356,UNIVERSITY 19 PW UNIT,OIL,Active,H,5/1/2018,181443.0,207889.0,961684.0,31.67354202,-103.3945923,9347.086914,1/10/2018,5/22/2017,,0,0,WOLFCAMP,SHELL WESTERN E&amp;P,216091.1694
48,4230133356,UNIVERSITY 19 PW UNIT,OIL,Active,H,5/1/2018,181443.0,207889.0,961684.0,31.67354202,-103.3945923,9347.086914,1/10/2018,5/31/2018,1904H,11606,20709,WOLFCAMP,SHELL WESTERN E&P,216091.1694
54,4230133442,LUDEMAN I WC 1410H,OIL,Active,H,6/1/2018,144450.469,241759.422,820609.0,31.93166542,-103.4268417,7267.532227,12/30/2017,,,0,0,,,184743.7136
55,4230133442,LUDEMAN I WC 1410H,OIL,Active,H,6/1/2018,144450.469,241759.422,820609.0,31.93166542,-103.4268417,7267.532227,12/30/2017,6/24/2018,1410H,12610,19823,,COG OPERATING LLC,184743.7136
60,4230133431,COTTONWOOD 55-1-14 UNIT 2HR,OIL,Active,H,3/1/2018,183799.0,918513.0,1688473.0,31.95742035,-103.72916409999999,8334.335938,12/1/2017,3/16/2018,2HR,12068,21694,WOLFCAMP,ANADARKO E&P ONSHORE LLC,336884.50200000004
61,4230133431,COTTONWOOD 55-1-14 UNIT 2HR,OIL,Active,H,3/1/2018,183799.0,918513.0,1688473.0,31.95742035,-103.72916409999999,8334.335938,12/1/2017,,,0,0,,,336884.50200000004
62,4230133462,YMC 9 2H,OIL,Active,H,9/1/2018,87376.0,499813.0,411598.0,31.97031975,-103.8684921,5340.688477000001,1/14/2018,9/13/2018,2H,0,0,WOLFCAMP,"WPX ENERGY PERMIAN, LLC",170678.1709
63,4230133462,YMC 9 2H,OIL,Active,H,9/1/2018,87376.0,499813.0,411598.0,31.97031975,-103.8684921,5340.688477000001,1/14/2018,9/13/2018,2H,11298,16014,WOLFCAMP,"WPX ENERGY PERMIAN, LLC",170678.1709
64,4230133462,YMC 9 2H,OIL,Active,H,9/1/2018,87376.0,499813.0,411598.0,31.97031975,-103.8684921,5340.688477000001,1/14/2018,,,0,0,,,170678.1709
75,4230133491,CYCLONE 54-2-15 UNIT 1H,OIL,Active,H,7/1/2018,71381.0,311084.0,801403.0,31.85304451,-103.64061740000001,7529.925293000001,5/12/2018,7/17/2018,1H,11981,19006,WOLFCAMP,ANADARKO E&P ONSHORE LLC,123228.3389
76,4230133491,CYCLONE 54-2-15 UNIT 1H,OIL,Active,H,7/1/2018,71381.0,311084.0,801403.0,31.85304451,-103.64061740000001,7529.925293000001,5/12/2018,,,0,0,,,123228.3389
78,4230133531,MURUS 55-2-30 LOV UNIT SW 1H,OIL,Active,H,6/1/2018,117505.0,444012.0,137861.0,31.81779671,-103.801445,7789.063965,2/11/2018,,,0,0,,,191506.9961
79,4230133531,MURUS 55-2-30 LOV UNIT SW 1H,OIL,Active,H,6/1/2018,117505.0,444012.0,137861.0,31.81779671,-103.801445,7789.063965,2/11/2018,6/11/2018,1H,11135,18566,,SHELL WESTERN E&P,191506.9961
80,4230133605,WHEAT TRUST C27-4 LOV 2H,OIL,Active,H,,,,,31.7403717,-103.4946747,4156.487305,3/28/2018,4/23/2018,2H,0,0,WOLFCAMP,SHELL WESTERN E&P,
81,4230133605,WHEAT TRUST C27-4 LOV 2H,OIL,Active,H,,,,,31.7403717,-103.4946747,4156.487305,3/28/2018,1/19/2019,2H,0,0,,SHELL WESTERN E&P,
82,4230133605,WHEAT TRUST C27-4 LOV 2H,OIL,Active,H,,,,,31.7403717,-103.4946747,4156.487305,3/28/2018,,,0,0,,,
99,4230133631,LINK VJ RANCH 23-11 D,OIL,Active,H,9/1/2018,165527.0,558135.0,0.0,31.83196259,-103.73027040000001,10691.05469,3/2/2018,9/2/2018,4H,11392,21604,WOLFCAMP,"EOG RESOURCES, INC.",258549.4922
100,4230133631,LINK VJ RANCH 23-11 D,OIL,Active,H,9/1/2018,165527.0,558135.0,0.0,31.83196259,-103.73027040000001,10691.05469,3/2/2018,,,0,0,,,258549.4922
106,4230133635,LINK VJ RANCH 14-23 H 8H,OIL,Active,H,6/1/2018,144937.0,659212.0,952750.0,31.85521317,-103.7207031,8536.035156,3/14/2018,,,0,0,,,254805.66600000003
107,4230133635,LINK VJ RANCH 14-23 H 8H,OIL,Active,H,6/1/2018,144937.0,659212.0,952750.0,31.85521317,-103.7207031,8536.035156,3/14/2018,6/22/2018,8H,11550,19193,,"EOG RESOURCES, INC.",254805.66600000003
109,4230133652,STATE 48 10,OIL,Active,V,11/1/2018,42037.0,80146.0,0.0,31.77096748,-103.50104520000001,1419.0,2/3/2018,,,0,0,,,55394.66504
110,4230133652,STATE 48 10,OIL,Active,V,11/1/2018,42037.0,80146.0,0.0,31.77096748,-103.50104520000001,1419.0,2/3/2018,2/19/2018,10,0,0,,"HEADINGTON ENERGY PARTNERS, LLC",55394.66504
112,4230133632,LINK VJ RANCH 14-23 E 5H,OIL,Active,H,9/1/2018,146129.0,501891.0,0.0,31.85494995,-103.7257843,8446.125,3/2/2018,9/4/2018,5H,11385,19027,WOLFCAMP,"EOG RESOURCES, INC.",229777.5
113,4230133632,LINK VJ RANCH 14-23 E 5H,OIL,Active,H,9/1/2018,146129.0,501891.0,0.0,31.85494995,-103.7257843,8446.125,3/2/2018,,,0,0,,,229777.5
116,4230133634,LINK VJ RANCH 14-23 G 7H,OIL,Active,H,9/1/2018,153517.0,514316.0,0.0,31.85521317,-103.7208176,8556.186523,3/11/2018,9/3/2018,7H,11325,19191,WOLFCAMP,"EOG RESOURCES, INC.",239236.3379
