API,CUM BOE
42-301-34249-0000,
42-301-33700-0000,86363.83496
42-301-33698-0000,94720.16602
42-301-33566-0000,
42-301-33921-0000,11569
42-301-33837-0000,
42-301-34259-0000,
42-301-33356-0000,216091.1694
42-301-34106-0000,36416.99805
42-301-34028-0000,
42-301-33814-0000,314304.3281
42-301-33760-0000,
42-301-34114-0000,107130
42-301-33958-0000,227408.8398
42-301-34063-0000,158080.5039
42-301-34125-0000,14965.16663
42-301-34221-0000,
42-301-34064-0000,67113.83301
42-301-34071-0000,31248.6665
42-301-33658-0000,
42-301-33793-0000,137632.6006
42-301-34053-0000,201905.002
42-301-33652-0000,55394.66504
42-301-33813-0000,217033.6641
42-301-34027-0000,
42-301-33398-0000,142008
42-301-34006-0000,348.833313
42-301-34212-0000,
42-301-33616-0000,
42-301-33752-0000,356507.8216
42-301-33978-0000,129549.8372
42-301-33782-0000,
42-301-33431-0000,336884.502
42-301-33982-0000,344990.1621
42-301-34004-0000,207.5
42-301-33857-0000,106922.584
42-301-33832-0000,
42-301-33888-0000,
42-301-33148-0000,255574.1611
42-301-33655-0000,
42-301-34168-0000,219780.5
42-301-33897-0000,
42-301-33882-0000,315385.1655
42-301-34215-0000,
42-301-34241-0000,
42-301-33903-0000,192519.5039
42-301-33462-0000,170678.1709
42-301-33871-0000,77047.66602
42-301-34195-0000,136877.8291
,
,
120,36075
42-301-33399-0000,128621.998
42-301-33632-0000,229777.5
42-301-33821-0000,115141.335
42-301-33667-0000,
42-301-34038-0000,138848.1641
42-301-33917-0000,
42-301-33951-0000,98870.83789
42-301-33819-0000,
42-301-33797-0000,
42-301-33825-0000,133507.166
42-301-34167-0000,231032.3359
42-301-34090-0000,93898.66406
42-301-33678-0000,58538.83374
42-301-33942-0000,
42-301-33725-0000,
42-301-34045-0000,
42-301-33772-0000,556.8333435
42-301-34068-0000,
42-301-33120-0000,181370.8359
42-301-33784-0000,
42-301-34201-0000,
42-301-33750-0000,
42-301-33154-0000,213756.9961
42-301-33991-0000,105889.002
42-301-33862-0000,48888.49951
42-301-33881-0000,104279.333
42-301-33521-0000,63537.6687
42-301-33724-0000,143610.501
42-301-34092-0000,80753.83594
42-301-34104-0000,57427.66992
42-301-34130-0000,
42-301-33742-0000,1958.833252
42-301-33791-0000,100347.1655
42-301-33920-0000,
42-301-34087-0000,22330.33276
42-301-33806-0000,
42-301-33913-0000,
42-301-33949-0000,
42-301-34000-0000,98777.33228
42-301-33931-0000,200380.998
42-301-34039-0000,10514.50001
42-301-33145-0000,243513.332
42-301-34159-0000,
42-301-33868-0000,142083.1665
42-301-33979-0000,
42-301-33932-0000,216497.4971
42-301-34158-0000,
42-301-33762-0000,
42-301-34171-0000,154018.8281
42-301-34199-0000,
42-301-34049-0000,
42-301-33930-0000,157901.834
42-301-33810-0000,102254.8359
42-301-33164-0000,258748.1677
42-301-33992-0000,18621.50079
42-301-33870-0000,38085.99902
42-301-33634-0000,239236.3379
42-301-33153-0000,212340.8359
42-301-33916-0000,360150.5
42-301-33574-0000,
42-301-33765-0000,
42-301-34237-0000,
42-301-33851-0000,276573.3286
42-301-32937-0000,997854.8398
42-301-33376-0000,28024.16797
42-301-33747-0000,149.6666718
42-301-33809-0000,
42-301-33771-0000,2833.666748
42-301-33990-0000,
42-301-33763-0000,
42-301-33753-0000,89143.99918
42-301-33748-0000,2497.333252
42-301-33118-0000,149078.5
42-301-33815-0000,375814.4922
42-301-33869-0000,123883.334
42-301-34160-0000,
42-301-33855-0000,232319.6685
42-301-33749-0000,
42-301-33630-0000,205190.6693
42-301-33704-0000,169915
42-301-34150-0000,
42-301-34213-0000,
42-301-33962-0000,112162.999
42-301-34067-0000,
42-301-33854-0000,
42-301-33397-0000,111632.5
42-301-34016-0000,912.166687
42-301-34102-0000,
42-301-33481-0000,
42-301-34065-0000,
42-301-33764-0000,199307.3281
42-301-33820-0000,85918.83398
42-301-34048-0000,
42-301-33945-0000,134232.668
42-301-33614-0000,81464.5
42-301-33491-0000,123228.3389
42-301-34013-0000,55396.33301
42-301-33944-0000,134913
42-301-34015-0000,52233.33301
