,Name,Api,Field - Aliased,County,Status - Aliased,Well Type - Aliased,First Production Date,Spud Date,CUM Oil,CUM Gas,CUM Water,Latitude,Longitude,Latitude,Longitude,Lateral Length,Completion Date,Lease,Current Operator - Reported,field reported,well type-reported,wellbore profile reported,Original Operator - Aliased,Wellbore Profile - Aliased
?,NOAH BRUNSON B UNIT 3H,42-301-33148-0000,PHANTOM (WOLFCAMP),LOVING,Active,OIL,7/1/2018,12/19/2017,200798,328657,552399,31.97450829,-103.4636765,31.97450829,-103.4636765,9674.533203,Fri Jul 20 2018 00:00:00 GMT-0500 (Central Daylight Time),08-47641 : NOAH BRUNSON B UNIT,"EOG RESOURCES, INC.",PHANTOM (WOLFCAMP),OIL,HORIZONTAL,"EOG RESOURCES, INC.",HORIZONTAL
?,ST. LUCIA 76 2833 12H,42-301-33120-0000,PHANTOM (WOLFCAMP),LOVING,Active,OIL,12/1/2018,12/5/2017,148976,194369,396975,31.94273186,-103.5597687,31.94273186,-103.5597687,10964.59863,Fri Dec 28 2018 00:00:00 GMT-0600 (Central Standard Time),08-48657 : ST. LUCIA 76 2833,XTO ENERGY INC.,PHANTOM (WOLFCAMP),OIL,HORIZONTAL,XTO ENERGY INC.,HORIZONTAL
?,NOAH BRUNSON A UNIT 3H,42-301-33145-0000,PHANTOM (WOLFCAMP),LOVING,Active,OIL,7/1/2018,1/7/2018,187512,336008,423948,31.97314262,-103.4686584,31.97314262,-103.4686584,10495.35059,Sun Jul 22 2018 00:00:00 GMT-0500 (Central Daylight Time),08-47671 : NOAH BRUNSON A UNIT,"EOG RESOURCES, INC.",PHANTOM (WOLFCAMP),OIL,HORIZONTAL,"EOG RESOURCES, INC.",HORIZONTAL
?,ST. LUCIA 76 2833 31H,42-301-33118-0000,PHANTOM (WOLFCAMP),LOVING,Active,OIL,2/1/2019,12/28/2017,116429,195897,1488868,31.9426136,-103.5591202,31.9426136,-103.5591202,10957.95605,Fri Feb 01 2019 00:00:00 GMT-0600 (Central Standard Time),08-48657 : ST. LUCIA 76 2833,XTO ENERGY INC.,PHANTOM (WOLFCAMP),OIL,HORIZONTAL,XTO ENERGY INC.,HORIZONTAL
?,GOODNIGHT UNIT 2H,42-301-33165-0000,UNASSIGNED,LOVING,Active,OIL,5/1/2018,1/24/2018,259996,517631,658605,31.91130066,-103.5206299,31.91130066,-103.5206299,9954.55957,Wed May 23 2018 00:00:00 GMT-0500 (Central Daylight Time),08-50623 : GOODNIGHT UNIT,"EOG RESOURCES, INC.",UNASSIGNED,OIL,HORIZONTAL,"EOG RESOURCES, INC.",HORIZONTAL
?,GOODNIGHT UNIT 5H,42-301-33168-0000,UNASSIGNED,LOVING,Active,OIL,6/1/2018,1/16/2018,349164,660500.7,407932,31.91129684,-103.5163956,31.91129684,-103.5163956,9961.183594,Tue Jun 26 2018 00:00:00 GMT-0500 (Central Daylight Time),08-50623 : GOODNIGHT UNIT,"EOG RESOURCES, INC.",UNASSIGNED,OIL,HORIZONTAL,"EOG RESOURCES, INC.",HORIZONTAL
?,WRANGLER A UNIT 2H,42-301-33265-0000,PHANTOM (WOLFCAMP),LOVING,Approved Permit,PERMIT,,11/9/2018,,,,31.91369629,-103.5161438,31.91369629,-103.5161438,9819.929688,,,"EOG RESOURCES, INC.",,,HORIZONTAL,"EOG RESOURCES, INC.",HORIZONTAL
?,WRANGLER A UNIT 1H,42-301-33262-0000,PHANTOM (WOLFCAMP),LOVING,Approved Permit,CANCELLED PERMIT,,11/30/2018,,,,31.91369629,-103.5160294,31.91369629,-103.5160294,9825.00293,,,"EOG RESOURCES, INC.",,CANCELLED PERMIT,HORIZONTAL,"EOG RESOURCES, INC.",HORIZONTAL
?,GOODNIGHT UNIT 1H,42-301-33164-0000,UNASSIGNED,LOVING,Active,OIL,5/1/2018,1/24/2018,198637,360667,639209,31.9111824,-103.5202789,31.9111824,-103.5202789,9957.366211,Wed May 23 2018 00:00:00 GMT-0500 (Central Daylight Time),08-50623 : GOODNIGHT UNIT,"EOG RESOURCES, INC.",UNASSIGNED,OIL,HORIZONTAL,"EOG RESOURCES, INC.",HORIZONTAL
?,INVICTUS 29-48 1H 1H,42-301-33357-0000,PHANTOM (WOLFCAMP),LOVING,Approved Permit,PERMIT,1/1/2019,2/9/2018,42063,62617,0,31.73635101,-103.3853836,31.73635101,-103.3853836,4790.977539,Fri Aug 17 2018 00:00:00 GMT-0500 (Central Daylight Time),,ANADARKO E&P ONSHORE LLC,PHANTOM (WOLFCAMP),PERMIT,HORIZONTAL,ANADARKO PETROLEUM CORPORATION,HORIZONTAL
?,UNIVERSITY 19 PW UNIT 1903H,42-301-33353-0000,PHANTOM (WOLFCAMP),LOVING,Active,OIL,5/1/2018,1/6/2018,42407,99777,215904,31.67349243,-103.3946152,31.67349243,-103.3946152,11368.58105,Mon May 28 2018 00:00:00 GMT-0500 (Central Daylight Time),08-42401 : UNIVERSITY 19 PW UNIT,SHELL WESTERN E&P,PHANTOM (WOLFCAMP),OIL,HORIZONTAL,SHELL OIL COMPANY,HORIZONTAL
?,INVICTUS 29-48 3H 3H,42-301-33364-0000,PHANTOM (WOLFCAMP),LOVING,Approved Permit,PERMIT,1/1/2019,12/15/2017,47171,69936,0,31.73629951,-103.3855667,31.73629951,-103.3855667,4845.987793,Fri Aug 24 2018 00:00:00 GMT-0500 (Central Daylight Time),,ANADARKO E&P ONSHORE LLC,PHANTOM (WOLFCAMP),PERMIT,HORIZONTAL,ANADARKO PETROLEUM CORPORATION,HORIZONTAL
?,UNIVERSITY 19 PW UNIT,42-301-33356-0000,PHANTOM (WOLFCAMP),LOVING,Active,OIL,5/1/2018,1/10/2018,181443,207889,961684,31.67354202,-103.3945923,31.67354202,-103.3945923,9347.086914,Thu May 31 2018 00:00:00 GMT-0500 (Central Daylight Time),08-42401 : UNIVERSITY 19 PW UNIT,SHELL WESTERN E&P,PHANTOM (WOLFCAMP),OIL,HORIZONTAL,SHELL OIL COMPANY,HORIZONTAL
?,SEQUOIA 55-1-14 UNIT 3H 1H,42-301-33376-0000,PHANTOM (WOLFCAMP),LOVING,Approved Permit,PERMIT,1/1/2019,11/23/2018,18410,57685,0,31.95744514,-103.7235565,31.95744514,-103.7235565,8314.473633,Fri Jan 11 2019 00:00:00 GMT-0600 (Central Standard Time),,ANADARKO E&P ONSHORE LLC,PHANTOM (WOLFCAMP),,HORIZONTAL,ANADARKO PETROLEUM CORPORATION,HORIZONTAL
?,LUDEMAN I WC 1411H,42-301-33443-0000,PHANTOM (WOLFCAMP),LOVING,Active,PERMIT,6/1/2018,1/1/2018,76889,116179.625,765743,31.931633,-103.4269638,31.931633,-103.4269638,7274.502441,Wed Jun 27 2018 00:00:00 GMT-0500 (Central Daylight Time),08-49215 : LUDEMAN I WC,COG OPERATING LLC,PHANTOM (WOLFCAMP),,HORIZONTAL,"RSP PERMIAN, LLC",HORIZONTAL
?,APOLLO 7 8H,42-301-33400-0000,PHANTOM (WOLFCAMP),LOVING,Active,PERMIT,12/1/2018,5/27/2018,89653,233008,0,31.9996109,-103.6427078,31.9996109,-103.6427078,5122.598633,Sat Dec 08 2018 00:00:00 GMT-0600 (Central Standard Time),08-47326 : APOLLO 7,"EOG RESOURCES, INC.",PHANTOM (WOLFCAMP),,HORIZONTAL,"EOG RESOURCES, INC.",HORIZONTAL
?,LUDEMAN I WC 1410H,42-301-33442-0000,PHANTOM (WOLFCAMP),LOVING,Active,OIL,6/1/2018,12/30/2017,144450.469,241759.422,820609,31.93166542,-103.4268417,31.93166542,-103.4268417,7267.532227,Sun Jun 24 2018 00:00:00 GMT-0500 (Central Daylight Time),08-49215 : LUDEMAN I WC,COG OPERATING LLC,PHANTOM (WOLFCAMP),OIL,HORIZONTAL,"RSP PERMIAN, LLC",HORIZONTAL
?,JONES SWD 1,42-301-33405-0000,"QUITO, WEST (DELAWARE)",LOVING,Active,INJECTION,,5/11/2018,,,,31.77903366,-103.6327744,31.77903366,-103.6327744,,Sun May 27 2018 00:00:00 GMT-0500 (Central Daylight Time),08-50206 : JONES SWD,"NGL WATER SOLUTIONS PERMIAN, LLC","QUITO, WEST (CHERRY CANYON)",,VERTICAL,MESQUITE SWD INC,VERTICAL
?,APOLLO 7 6H,42-301-33398-0000,PHANTOM (WOLFCAMP),LOVING,Active,PERMIT,12/1/2018,5/29/2018,98828,259080,0,31.99961472,-103.6409912,31.99961472,-103.6409912,5113.549316,Sun Dec 09 2018 00:00:00 GMT-0600 (Central Standard Time),08-47326 : APOLLO 7,"EOG RESOURCES, INC.",PHANTOM (WOLFCAMP),PERMIT,HORIZONTAL,"EOG RESOURCES, INC.",HORIZONTAL
?,COTTONWOOD 55-1-14 UNIT 2HR,42-301-33431-0000,PHANTOM (WOLFCAMP),LOVING,Active,OIL,3/1/2018,12/1/2017,183799,918513,1688473,31.95742035,-103.7291641,31.95742035,-103.7291641,8334.335938,Fri Mar 16 2018 00:00:00 GMT-0500 (Central Daylight Time),08-284574 : COTTONWOOD 55-1-14 UNIT,ANADARKO E&P ONSHORE LLC,PHANTOM (WOLFCAMP),OIL,HORIZONTAL,ANADARKO PETROLEUM CORPORATION,HORIZONTAL
